term_str,vector
allegedly,"[ 1.57928953e-05 -4.25907085e-03  3.96681856e-03  8.08794610e-03
  5.24060614e-03 -2.45778007e-03  6.11030776e-03  2.87875137e-03
 -3.89119284e-03  3.82832112e-03  1.83971832e-04 -3.33802472e-03
 -1.33888854e-03 -3.50629934e-03  8.12534010e-04  2.23276601e-03
  1.89125829e-03  3.45824519e-03 -8.65238905e-03  6.31576218e-03
  2.58245738e-03  1.09400833e-03 -1.75827648e-03 -5.52991545e-03
 -4.91800299e-03  1.63592678e-03  8.57851119e-04  4.37839050e-03
 -5.09994291e-03 -3.39514227e-03 -6.44503918e-04  1.66953262e-03
  1.71311549e-03 -3.82446055e-03 -1.16885593e-03  5.73748630e-03
  7.46126566e-03 -6.00012159e-03  3.05373943e-03 -6.03163661e-03
 -8.08768626e-03  6.65211724e-03 -5.49640972e-03 -3.82319558e-03
  8.44880473e-03 -3.85215972e-04 -2.83429329e-03  5.06728597e-04
  5.57173742e-03  3.70711391e-03 -1.83971366e-03 -6.31740957e-04
 -9.39596968e-04  3.17587634e-03 -3.15696513e-03 -4.52781143e-03
  4.85601975e-03 -9.69902053e-03  1.49753457e-03  6.30649505e-03
 -2.41884217e-03  3.72048933e-03 -2.38120067e-03 -1.33491715e-03
  3.23109422e-03 -2.43994943e-03  2.77814106e-05  5.34203462e-03
 -3.09207686e-03 -3.17549589e-03  2.84134131e-03  4.35752003e-03
 -4.83327219e-03 -7.98432715e-03  6.15609344e-04  6.23171567e-04
  6.31204399e-04 -3.80244222e-03 -2.87649251e-04  3.21281096e-03
 -4.47969511e-03 -1.56189920e-03  6.50499482e-03  7.90872984e-03
 -8.19573179e-04  6.74996013e-03  5.88433584e-03 -9.06993356e-03
 -6.03579031e-03  2.03011255e-03  5.23751660e-04 -4.05071676e-03
  3.77054699e-03 -4.41476936e-03  6.72768941e-03  5.96966781e-03
 -6.68479502e-03 -6.07902743e-03  2.38412921e-03 -1.02641154e-03
 -1.09373368e-02 -1.06986354e-05  4.71344776e-03  3.24428431e-03
  4.69212607e-03  2.56940140e-04 -8.15929321e-04  5.88262174e-03
  4.33081063e-03 -5.97942714e-03  2.04292638e-03 -9.60438978e-03
  1.02229894e-03  6.12818357e-03 -6.76451193e-04  2.16489751e-03
  2.85521219e-03  2.98264460e-03 -1.18995194e-04 -1.18453827e-04
 -8.51396471e-04 -8.19091778e-03  3.22083337e-03 -3.72157991e-03
 -1.07352633e-03  1.45865313e-03  3.60759953e-03  2.88674794e-03
  1.46715355e-03  2.39158026e-03  3.95829603e-03 -1.73013168e-03
  2.50168215e-03 -4.47151344e-03  3.77439335e-03 -1.34396367e-03
  5.77162020e-03  5.92295313e-03  1.14750331e-02  1.94911752e-03
  8.36329651e-04 -6.81229914e-03  3.20891500e-03  6.81168865e-03
 -1.06010586e-02 -1.46683620e-03 -1.59449351e-03 -4.45552316e-04
  5.63092623e-03  5.35012130e-03 -2.27280753e-03 -9.83893499e-03
 -3.79380351e-03  2.67298333e-03 -8.56169872e-03  6.77243341e-03
  7.68515933e-03  2.40392284e-03 -4.43908991e-03  2.04119598e-03
  2.59197946e-03  2.97818077e-03 -2.85225280e-04 -2.87835323e-03
  1.63455482e-03  2.31035380e-03 -1.66481605e-03  6.03024149e-03
  7.24515365e-03  5.44138998e-03 -2.93673459e-03 -4.81751049e-03
  3.03280330e-03  2.26580515e-03 -7.74838636e-03 -1.80155062e-03
 -7.25267502e-03 -9.91243753e-04  8.02423060e-03  2.02021096e-03
 -3.45501420e-03  3.54634994e-03  4.24062507e-03 -5.38362889e-03
  5.48013765e-03  7.44972567e-05 -8.50561634e-03 -8.12809076e-03
 -6.42762706e-03  5.87422459e-04  4.63534053e-03 -2.89182062e-03
  7.82705005e-03 -3.15199187e-03  3.59767163e-03 -3.69349448e-03
  7.95546570e-04 -4.99544898e-03 -7.40866875e-03 -7.73909502e-04
 -5.43691544e-03 -6.97985379e-05  3.16771306e-03 -2.18428345e-03
  1.38166605e-03  3.09491018e-03 -9.65653267e-03 -4.12789732e-03
 -8.66461359e-03  1.97740807e-03 -2.82446994e-03  1.98048679e-03
  1.12643680e-02  4.99778520e-03  5.27508929e-03 -1.63090869e-03
  7.89902452e-03  6.92771096e-03 -8.29747785e-03 -1.22844742e-03
 -2.26172223e-03  1.96670066e-03 -2.62834161e-04 -3.30563029e-03
  5.64019615e-03 -5.74895414e-03  2.49133003e-03  5.69579611e-03
 -2.53701932e-03  3.12356325e-03 -2.54019024e-03 -3.71814822e-03
 -1.68327836e-03 -9.28381283e-04 -7.22489832e-03  6.26934972e-03
  3.48904938e-03  1.70845294e-03  6.83467515e-05  9.27721558e-04
 -4.95532854e-03  2.49582715e-03  2.26759526e-04  2.17816280e-03
  7.96275912e-04  1.39132037e-03  5.98197849e-03 -2.86273193e-04
 -3.87514220e-03 -4.60992241e-03 -4.69976012e-03  1.92183047e-03
 -7.48214638e-03 -5.21127461e-03 -9.98960901e-03 -2.31350842e-03]"
ai,"[-5.7969103e-04 -4.8939330e-03 -8.7497145e-04  1.8803827e-03
  8.2407286e-03 -1.2822257e-03  5.9152674e-03  1.7385189e-04
 -4.2404532e-03  7.4289455e-03  1.0005565e-03  2.1566160e-04
 -2.4037540e-03 -2.3662893e-03  3.5916266e-03  4.3366812e-03
  2.2956349e-03  2.9098785e-03 -5.1362049e-03  1.0718241e-02
  3.6806322e-03  7.4298575e-04 -4.3706317e-03 -4.2154305e-03
 -4.9772649e-03 -1.2618251e-03 -2.3647866e-03  1.5957271e-03
 -1.0874690e-03 -3.5850310e-03 -3.0597619e-04 -1.3739913e-03
  1.8560018e-03 -7.5957709e-04 -2.0000781e-03  7.1559260e-03
  6.8663387e-03 -4.3481304e-03  5.5115768e-03 -9.2979614e-04
 -9.3685120e-04  3.4546615e-03  1.7475327e-03 -4.5068236e-03
  2.7912185e-03  3.2670400e-03  6.3551997e-05 -3.1673287e-03
  4.2550093e-03 -1.6719656e-03  2.2555296e-03  1.0433309e-03
  2.8298642e-03 -9.4841415e-04 -8.1285159e-04 -1.4649720e-04
  3.8678604e-03 -7.5752921e-03  5.5645201e-03  1.0980259e-03
  2.0386400e-03  4.2040506e-04 -3.7793880e-03  3.8221097e-03
  3.5233186e-03 -3.2157737e-03  4.0180092e-03  6.1865207e-03
 -5.4415949e-03 -1.9629686e-03  2.9289878e-03  2.1756019e-03
 -2.3294075e-03 -3.0121338e-03 -6.3803786e-04 -1.2616485e-03
 -4.4175452e-03 -3.2113567e-03  2.2136862e-03  8.2557434e-03
  8.7104551e-04 -4.3812064e-03 -5.9424085e-04  7.6288301e-03
  2.3033824e-03  6.5533114e-03  4.9969214e-03 -6.7326236e-03
 -7.5954740e-04  7.2828523e-04  1.1574642e-03 -4.0471633e-03
  3.9230668e-04 -4.1997493e-03  3.8037144e-03  2.6923139e-03
 -6.2032444e-03 -6.3660052e-03 -9.1465493e-04 -2.7750055e-03
 -4.8714299e-03  2.6539071e-03  4.3191854e-03 -7.7488908e-04
  1.4231527e-03  3.7959202e-03  2.2012761e-03  2.1042891e-03
  5.5328961e-03 -4.7445078e-03  1.4722873e-03 -1.5352843e-03
  1.3684240e-03 -1.2604607e-03  8.0774230e-04 -1.9886850e-03
 -5.1311875e-04  4.1030245e-03  3.0066189e-04 -1.8027930e-03
 -3.2531521e-03 -2.0542750e-03 -2.3534335e-03  1.0869616e-03
 -4.7124997e-03  2.7288026e-03  5.7055564e-03  1.9714760e-03
  7.4399926e-04 -1.5250988e-03  3.6872779e-03  1.8218727e-03
  1.2558131e-03 -5.4010372e-03 -1.2560415e-03 -2.5391455e-03
  1.8877793e-03  1.4716674e-03  9.5465779e-03 -1.4124198e-03
  6.4811157e-04 -5.9563997e-03  4.0567596e-03  2.9842972e-03
 -9.7538447e-03 -2.8556709e-03 -5.7515944e-03 -7.2951661e-04
  5.3006448e-03  5.6037307e-03 -3.5068386e-03 -3.5667489e-03
 -4.5289318e-03  3.8228612e-03 -8.5119558e-03  4.5232871e-03
 -8.9438909e-05  7.7309174e-04 -4.9949135e-03 -2.5485524e-03
  3.1377375e-03  3.3672529e-03  3.4578410e-03 -2.6716634e-03
  3.6245614e-04 -3.0337833e-03 -5.2493199e-04  9.6265664e-03
  2.2659691e-03  2.3952583e-03 -8.0039463e-04  1.2265168e-03
 -2.4174836e-03  2.7074571e-05 -2.6103647e-03  1.4521721e-03
 -2.8638684e-03 -3.5182030e-03  7.9593277e-03 -1.7147436e-04
 -9.4639644e-04  2.8238262e-03  1.1132737e-03 -1.5175805e-03
  4.4637597e-03 -1.8844495e-03 -1.0279650e-02  3.0675254e-04
 -2.9457016e-03 -9.2836499e-04  4.4163177e-03 -1.5560988e-03
  7.1530300e-03 -2.8522755e-03  5.0433092e-03 -1.7075679e-03
  3.1068297e-03 -4.7466638e-03 -3.2342225e-03 -4.7549019e-03
 -7.8541385e-03 -4.4512483e-03  3.7544046e-03 -3.5438060e-03
  7.4361655e-04 -2.1839042e-03 -5.1826886e-03 -3.3905592e-03
 -5.3919959e-03 -6.6129863e-04  3.1514324e-03  5.9707463e-03
  3.9638081e-03  7.1075778e-03 -4.4003461e-04  2.7561272e-03
  3.2390172e-03  3.5774694e-03 -2.6110981e-03  3.4146009e-03
 -5.5636198e-04  6.3770954e-03  3.9707562e-03 -3.8698483e-03
 -1.2938163e-03 -5.9148790e-03  5.6574732e-04  1.6358100e-03
 -2.6268265e-03 -2.1193691e-03 -1.6253475e-04  2.4517765e-04
 -2.8512690e-03 -1.8798735e-03 -1.5635256e-03  3.1680826e-03
  4.9467641e-03 -1.2932386e-03  6.2068051e-04 -2.2441419e-03
  2.2679093e-04  3.1444347e-03  6.8449543e-04  6.8663154e-04
 -4.0179915e-03  4.9389660e-04  3.9169993e-03 -2.9912340e-03
 -5.4047820e-03 -3.6235244e-03 -2.2387723e-03  3.7334694e-03
 -5.9379293e-03 -4.3362025e-03 -6.8773408e-03 -9.4707159e-04]"
algorithm,"[-2.5254695e-03 -7.4037798e-03  7.7448832e-04  5.8000593e-04
  5.2171983e-03 -1.9361668e-03  2.1099567e-03 -1.2672158e-03
 -5.0006644e-03  4.2695263e-03  6.2581117e-04  7.5595069e-04
 -2.5535470e-03 -6.8753981e-03  3.5596171e-03 -1.2964359e-03
  1.2565047e-03  5.3490824e-03 -2.4815358e-03  4.9977438e-03
 -2.1081313e-03 -3.9377939e-03 -3.8168496e-03 -1.3077989e-03
 -4.1810735e-03  4.4814385e-03  3.0042143e-03  5.9437740e-04
  2.0084784e-03 -4.4864654e-03 -8.6791045e-04  7.8850379e-04
 -1.9454581e-03 -2.2922335e-03 -2.7164191e-04  8.6444300e-03
  3.3026331e-03 -3.7162253e-03  3.6463831e-03 -7.0768269e-03
 -6.8287074e-04  7.1660904e-03 -5.8132950e-03 -1.0409312e-03
  1.1261349e-02 -3.2260499e-03 -2.4427655e-03 -5.8564125e-03
  6.1828196e-03 -1.8161577e-04  4.8556840e-03 -5.4421434e-03
  2.0415669e-03  3.4492218e-03 -5.3180726e-03 -1.4110195e-03
 -2.2086623e-04 -9.7200377e-03  3.5281335e-03  4.6878057e-03
  1.6337506e-03  5.1119328e-03 -6.8545522e-04  4.7542294e-03
 -1.6049184e-04 -1.4592463e-03  3.1377809e-04  4.3423306e-03
  1.0457832e-03 -5.9739966e-03  2.5906207e-03 -2.7189802e-03
 -3.9785458e-03 -7.2264755e-03 -3.0866067e-03  4.0106415e-03
 -2.6562971e-03 -1.7753510e-03  4.0798211e-03  9.0989107e-03
 -6.6230241e-03 -3.6866507e-03  7.5730290e-03  6.4757951e-03
  5.9015595e-04  1.8604171e-03  4.0717376e-03 -8.9220693e-03
 -9.3070627e-04 -2.2010587e-03 -4.0393678e-04 -3.3198362e-03
  2.0798580e-03 -3.6061953e-03  5.1038670e-03  3.4629353e-03
 -3.9076307e-03 -3.4521068e-03  4.1228086e-03 -2.4284781e-03
 -6.9494029e-03  2.4403834e-03  3.0400508e-04  7.4094773e-04
  5.1754178e-03  4.8596552e-03 -4.8770179e-04 -5.0151721e-04
  4.8761573e-03 -4.1470239e-03  5.5609779e-03 -5.1090801e-03
  3.2722291e-03  3.6275224e-03 -2.4447767e-03 -2.5224907e-03
  1.8425756e-04 -8.2094257e-04  3.8122204e-03  3.5080197e-03
 -1.7997499e-03 -4.2717531e-03 -2.5067080e-03  9.0617116e-04
 -5.8849589e-03 -3.1875749e-03  2.3614776e-03 -2.4780408e-03
  4.6106707e-03 -2.4582406e-03  3.1808694e-03 -2.8583130e-03
  3.9870492e-03  1.9762756e-03 -1.0393589e-03 -5.8785011e-03
  9.9090883e-04  1.8466881e-03  6.5660528e-03 -5.0238781e-03
 -5.5364696e-03 -2.5248353e-03  2.3778125e-03  2.2535040e-03
 -8.9205336e-03 -7.3005301e-03 -6.2545417e-03 -3.0680525e-03
  4.4530351e-03  2.1549419e-03 -2.1232606e-03 -4.5842994e-03
 -4.4019441e-03  3.4272089e-03 -9.4838263e-03  1.1919433e-03
  7.4706471e-04 -1.8674721e-03 -4.1400725e-03  1.5584184e-03
  4.0635830e-03  3.4684057e-03  4.2552594e-03 -3.8317218e-03
  2.0623009e-03  2.4564555e-03 -5.3904466e-03  9.6664289e-03
  6.1276364e-03 -9.3286842e-05 -3.8100968e-03 -1.7765084e-04
  3.2370812e-05 -2.6513431e-03 -2.7579365e-03 -1.4054265e-03
 -6.6392305e-03  9.7053708e-05  4.2252848e-03  3.0709461e-03
 -1.0608331e-03  1.5065667e-03  1.5870554e-03 -2.3127906e-03
  7.6873237e-03 -1.4328868e-03 -7.8422725e-03 -1.4066921e-03
 -3.1339461e-03  4.1322029e-04  6.9842297e-03  1.2725430e-03
  4.1895965e-03  1.9481980e-04  5.9203128e-03 -5.7070390e-03
 -3.1760773e-03 -6.0954974e-03 -3.4482558e-03 -2.2253077e-03
 -3.0220591e-03 -2.1106929e-03  4.9148710e-03 -5.2610430e-04
  5.4653850e-04  7.3707211e-05 -9.8065529e-03 -8.0257831e-03
 -4.4796248e-03  2.2329087e-03 -2.3706659e-04 -8.1768527e-04
  3.6115488e-03  6.5433388e-03  4.7781219e-04  3.0702096e-03
  2.5604798e-03  5.7795788e-03 -7.0751123e-03  1.9443620e-03
 -3.3763740e-06  3.9984396e-04 -2.1373417e-04 -5.8174477e-04
  3.0207779e-04 -3.8462568e-03 -3.7746509e-03  4.0286239e-03
  3.5376640e-03  2.5799699e-04 -4.5778570e-03  7.4920728e-04
  4.4603632e-03 -2.4126749e-03 -6.2511154e-03  4.7746408e-03
  6.6627664e-03  5.8470969e-04 -3.5123166e-03  5.7053514e-04
  1.2613190e-03 -1.6165614e-03 -1.6195421e-03  3.2973671e-03
 -4.0597175e-03  1.1425914e-03  5.0531179e-03  3.3318754e-03
  1.3074239e-03 -4.7351560e-03 -6.1622583e-03  6.1309924e-03
 -2.9555557e-03  4.4195878e-04 -9.3673375e-03  3.6408193e-03]"
reportedly,"[-0.00026917 -0.00701381  0.00334877  0.00435679  0.01096312 -0.00064259
  0.00194759  0.00029682  0.00145731  0.00335555 -0.00170645 -0.00584447
 -0.002519   -0.00660063 -0.00057571  0.00412226  0.00169488  0.00215892
 -0.00370404  0.0141828   0.00306491 -0.00152826 -0.00372968 -0.00733152
 -0.01094761  0.00547752  0.0001967   0.00210452 -0.00296496 -0.0036647
  0.00386334  0.00026489 -0.00591275  0.00242856  0.0015571   0.01045239
  0.00721333 -0.00255181  0.00683674 -0.00584815 -0.00711271  0.00640644
 -0.00062383 -0.00452172  0.01245785 -0.00177074  0.00397927 -0.00323634
  0.00099743 -0.00082479 -0.00158913 -0.00381862  0.00096011  0.00650596
 -0.00286328 -0.00542944  0.00469139 -0.0064466   0.00214625 -0.00080798
 -0.00128743  0.00024918  0.00185365 -0.00042438  0.0060998   0.00073599
  0.00028869  0.00517531 -0.00289063 -0.00110874  0.00217868 -0.00245689
 -0.0053254  -0.00303442 -0.00117649 -0.00018784 -0.00255015 -0.00408479
  0.00098818  0.00838395 -0.00558131 -0.00439589  0.00407961  0.00551339
  0.00119747  0.00442356  0.00519148 -0.00852089 -0.00399382 -0.0004736
  0.00237644 -0.00714278 -0.00059575 -0.00644408  0.00689344  0.00346356
 -0.00698351 -0.00373232  0.00034148 -0.00150877 -0.01138415 -0.0003371
 -0.00096504  0.00175645  0.00402489  0.00532593 -0.00421555  0.00112863
  0.00245908 -0.00691554 -0.00108317 -0.00730689  0.00317569  0.00069917
  0.0006696  -0.00055941  0.00246258  0.00075497  0.00168057 -0.00287017
 -0.00264609 -0.00478089 -0.00215356  0.00065748 -0.00248434 -0.00019225
  0.00949604  0.00462956  0.0029507   0.00233982  0.00238368 -0.00248815
  0.00103897 -0.00457631 -0.00069163  0.00043642  0.00233973  0.00091586
  0.00633237  0.00024691 -0.00356702 -0.00585083  0.00747322  0.00581044
 -0.01015391 -0.00423082 -0.00538677  0.00350651  0.0067922   0.00060391
 -0.00296253 -0.00879176 -0.00350432  0.00310502 -0.01058104  0.00274316
  0.00742729 -0.00176214 -0.00738565  0.00255249  0.00532365 -0.0001655
  0.00488664  0.00070183  0.00174911  0.00374258 -0.00843152  0.01050299
  0.00528478  0.00455296 -0.00071708  0.0004153   0.00269713  0.00189507
 -0.00896818 -0.00120241 -0.00496404  0.00111973  0.00509245  0.00561206
  0.00201011  0.00506769  0.00322127  0.00047291  0.00465459  0.00433692
 -0.00736284 -0.0074227  -0.00903614  0.00159049  0.00619352 -0.00280749
  0.00593663  0.0031135   0.00860072 -0.00558621 -0.00309323 -0.00610079
 -0.00555163 -0.00637376 -0.00516255 -0.00297922  0.00697689  0.00063565
 -0.00329353 -0.00356469 -0.00808785 -0.00780094 -0.0044197  -0.00211877
  0.00189806  0.00347726  0.00939392  0.00367193  0.00169134  0.00380149
  0.00667734  0.00058368 -0.00840779  0.0013402   0.00278685  0.0058473
 -0.00224182  0.00324716  0.00423026 -0.00112623  0.00294094  0.00086567
 -0.00358881  0.00393813 -0.00126307  0.00065007  0.00391197 -0.00076892
 -0.00089392  0.00333708  0.00058983 -0.00214712 -0.00176174  0.0031298
 -0.00450894 -0.00151654  0.00392792 -0.0018874   0.00251714 -0.00219365
  0.00726552  0.00259689 -0.00145236 -0.00534125 -0.00423602 -0.00017683
 -0.00560569 -0.00334064 -0.00399061 -0.00141816]"
system,"[-2.3957018e-03 -2.1404352e-03  1.7218956e-03  2.4341831e-03
  1.0653985e-02  1.6794647e-03  1.5283144e-03 -2.5706703e-04
  2.0310532e-03  7.6826797e-03 -6.2547144e-05 -4.2556808e-04
  1.1180567e-03 -6.2023778e-03  6.6796849e-05  2.3520342e-03
  1.8156816e-04  2.4370514e-03 -7.3926048e-03  1.1799349e-02
 -2.8770864e-03 -3.7334871e-03 -4.8198560e-03 -5.6096939e-03
 -9.8295938e-03  2.8685289e-03 -1.1986856e-03  1.4501560e-03
 -4.5921621e-03 -8.6134800e-04  3.3417370e-03  1.5956231e-03
 -3.9283424e-03 -1.3462075e-03  2.5849938e-03  7.1912943e-03
  4.4123639e-04 -4.6091601e-03  3.5726537e-03 -2.6355088e-03
 -7.5620315e-03  5.7662786e-03 -5.2475180e-03 -4.8515294e-03
  8.8131288e-03 -1.7297203e-03  1.7060639e-03  6.0126383e-04
  1.5929117e-03  3.6820071e-03  1.9894321e-03  1.8080673e-03
  2.8407399e-03 -1.0441659e-03 -7.0004915e-03  2.6438391e-04
  5.0761225e-03 -2.8667348e-03  5.3312648e-03  5.5175498e-03
 -5.4249112e-03  4.8006056e-03 -2.4598250e-03  2.8726861e-03
  6.0070935e-03 -1.0036589e-03  3.0916389e-03  3.5083983e-03
 -2.3237229e-03 -1.4327677e-03 -1.6172851e-03  1.0104752e-03
 -8.1937767e-05 -6.1507835e-03  2.5908850e-04 -2.9674126e-03
  1.8839247e-03  7.5265976e-05  1.1814771e-03  7.8937495e-03
 -2.9585762e-03 -4.9910154e-03  3.4133224e-03  7.0744702e-03
 -5.6099996e-04  3.8450737e-03  5.2791648e-03 -5.3084721e-03
 -4.9362984e-03 -1.4582835e-03  2.3012704e-03 -6.1866259e-03
  8.4851001e-04 -6.5691322e-03  1.1072649e-03  1.1879256e-04
 -4.5486502e-03 -6.3469773e-03  2.5402859e-03 -6.6057327e-03
 -1.0650669e-02 -4.5131519e-03 -5.1424513e-04  3.6149865e-03
  2.9836416e-03  2.4349096e-03 -2.2742809e-03  1.3984428e-04
  4.8307981e-03 -3.1781236e-03  2.1694321e-03 -5.4415539e-03
  3.1638746e-03  2.9788543e-03 -4.9218615e-03 -3.0406001e-03
 -3.0274743e-03 -4.4014477e-04  2.0675987e-03  2.8196222e-03
 -2.2486940e-03 -6.5873782e-03  3.7047428e-03  2.2208899e-04
 -4.3741530e-03  3.7047274e-03  5.8622193e-03 -9.7683095e-04
  4.4213645e-03  1.6101162e-03 -2.7971431e-03 -1.6441637e-04
  3.0147603e-03  3.1857818e-04  1.5651470e-03 -3.3208469e-03
  3.1745024e-03  3.4676972e-03  7.1918713e-03 -2.4438952e-03
 -4.3637566e-03 -8.1787613e-04  8.9297686e-03  9.3821175e-03
 -1.1695303e-02 -2.8936202e-03 -5.0866334e-03  3.9737173e-03
  5.8832560e-03  5.8147321e-03 -3.8448116e-03 -2.6945618e-03
 -5.4835267e-03  4.2732819e-03 -8.3853286e-03  1.1241378e-03
  2.9221307e-03  3.8658639e-03 -6.3018356e-03 -1.8658602e-03
  8.0067907e-03  1.5136782e-03 -1.0923161e-03 -3.3455908e-03
  3.7043714e-03  2.5600605e-03 -2.3372616e-03  5.9610410e-03
  9.6187185e-05  3.9417623e-03  1.3474501e-03 -3.4328725e-03
 -2.4311442e-03 -1.5468540e-03 -8.4222406e-03 -2.2349646e-04
 -4.8619197e-03 -1.7512960e-03  9.1415457e-03 -6.1732886e-04
  1.9435727e-03  3.8348082e-03  1.3640608e-03  1.0722857e-03
  8.4997248e-03 -1.3278206e-03 -9.7973896e-03 -6.4918259e-03
 -9.4891954e-03  1.0477037e-03  1.6165392e-03 -5.2569867e-03
  6.4999619e-03  1.2901532e-03  6.7366352e-03 -5.2758860e-03
 -2.6558153e-03 -3.2513903e-03 -2.8723103e-03  1.2054885e-03
 -4.7036968e-03  1.6617532e-03  1.9786810e-03  1.8228481e-03
 -2.2566160e-03  3.5524562e-03 -1.0352421e-02 -3.6877771e-03
 -4.2428351e-03 -4.2662199e-04 -3.0027030e-03 -6.5743632e-04
  3.9803744e-03  1.0233520e-03  2.7599465e-03  8.4346579e-04
  4.7300635e-03  5.4645156e-03 -5.5085686e-03  7.2959199e-05
 -2.9839035e-03 -7.2402228e-04  4.6974677e-03 -2.2922568e-03
 -2.4451385e-04 -1.4670329e-03  1.9880082e-03  4.9404928e-04
  3.0317871e-04 -8.7738008e-04 -3.6151689e-03 -2.4591736e-03
 -3.4741178e-04  8.7470311e-04 -1.3156938e-04  8.6610960e-03
 -6.0577510e-04 -1.7678846e-03  2.8315717e-03  1.8666837e-03
 -4.1530770e-03  1.8279145e-03  4.3926518e-03 -6.9318659e-04
 -4.3643299e-03  3.7239119e-04  7.3254062e-03  3.1316965e-03
 -3.4669437e-04 -6.0830414e-03 -4.9700085e-03  2.6177170e-03
 -2.2275818e-03 -5.1171379e-03 -8.9966357e-03  1.3025651e-04]"
